职位,薪水,关键词,经验,学历,工作地址,公司,公司情况
国企车险专员五险/法定节假日休息/年终奖,5000-9000元,,经验不限,学历不限,衡阳·蒸湘区·蒸湘街道,中国大地财产保险股份有限公司,"国企
         
          10000人以上
         
          保险"
莜面面点师,4000-6000元,"中式面点
莜面
中餐厅
忻州菜",5-10年,学历不限,太原·万柏林·长风西街,山西国能隆泰煤焦集团有限责任公司,"民营
         
          1000-9999人
         
          矿产/采掘"
天猫运营,8000-12000元,"天猫
电子产品
店长
主管",3-5年,大专,金华·义乌市·北苑街道,义乌市画邦电子商务有限公司,"民营
         
          20-99人
         
          电子商务"
莆田销售代表五险,5000-7000元,"销售管理
快消品销售
酒水销售",经验不限,中专/中技,莆田·涵江区·江口镇,福州三美晨光文具礼品销售有限公司,"民营
         
          100-299人
         
          贸易/进出口"
波峰焊/点胶设备技术员,7000-9000元,"维修/保养
安装/调试
非标设备
自动化设备
后焊
波峰焊
点胶机",3-5年,高中,厦门·同安·洪塘,广东智通人力资源外包服务有限公司,"股份制企业
         
          1000-9999人
         
          专业技术服务"
消防行业销售经理,5000-7000元,"区域销售
电话销售
渠道销售",经验不限,大专,北京·石景山·古城,北京励拓新安安全防范技术有限公司,"民营
         
          20-99人
         
          房地产开发"
机械售后工程师,8000-10000元,机械设备,1-3年,本科,青岛·崂山·中韩,青岛孜诺机械有限公司,"民营
         
          20-99人
         
          贸易/进出口"
需大专/本科 武汉东站 有食宿 周末休 9816+,7000-12000元,"接受小白
五险一金",无经验,大专,武汉·洪山·关山,泰盈科技集团股份有限公司武汉分公司,"上市公司
         
          10000人以上
         
          电子商务"
自媒体运营,4000-6000元,"短视频平台
图文平台
微信公众号
今日头条
小红书
抖音
微信视频号
内容运营
短视频运营
品牌运营",经验不限,大专,成都·金堂·赵镇,四川成都辣维特农业发展有限责任公司,"20-99人
         
          农副产品加工制造"
食堂连锁【卤味店 营业员5000+】 入职缴纳五险,4000-5000元,餐饮店,经验不限,学历不限,湘潭·雨湖区·和平街道,上海熟人智能科技有限公司,"民营
         
          10000人以上
         
          人力资源服务"
【实习生可】车险专员/法定节假日休息/年终奖,5000-9000元,,经验不限,学历不限,十堰·茅箭区·二堰街道,中国大地财产保险股份有限公司,"国企
         
          10000人以上
         
          保险"
外卖配送员400一天，包车包住，可预支,1-1.4万,"包车包住
提供住宿
美团
饿了么
餐饮外卖
会骑电动车
有骑手经验
熟练使用导航
熟悉本地路况
退伍军人
无犯罪记录
公司提供电动车/摩托车",经验不限,学历不限,北京·丰台·丰台街道,北京乐信韵达货运代理有限公司,"民营
         
          500-999人
         
          货运/物流/仓储"
外贸跟单采购员,5000-7000元·13薪,"外贸跟单
生产跟单",1-3年,大专,合肥·蜀山·高新区,安徽惠宁进出口有限公司,"民营
         
          20-99人
         
          贸易/进出口"
国企办公室专员五险一金,5000-9000元,全白班,经验不限,中专/中技,新余·渝水区·城北街道,中国大地财产保险股份有限公司,"国企
         
          10000人以上
         
          保险"
【需本科】双休跟课辅导！非销售岗,8000-13000元,"物理
数学
高中教育
不授课
无需教资
英语",经验不限,本科,合肥·庐阳·四里河,作业帮,"民营
         
          10000人以上
         
          互联网"
山姆超市3公里专送日结400+/一趟5-8单无压力+可兼职日结可全职/+骑手/超市驻店/配送员/送餐员,1-1.2万·13薪,"家附近3公里配送
提供车住
全职兼职均可
日入500
时间自由
人走账清
保底8000
日结工资
包住
可预支薪水
高温补贴
底薪加提成
节日福利",经验不限,学历不限,东莞·企石·企石镇,团配供应链管理,"股份制企业
         
          10000人以上
         
          货运/物流/仓储"
八小时工作制+五险+可小白,6000-11000元,,经验不限,学历不限,遂宁·船山区·慈音街道,中国大地财产保险股份有限公司,"国企
         
          10000人以上
         
          保险"
中创新航/包吃住/月7500/年13薪,7000-8000元·13薪,"设备管理
生产设备",无经验,学历不限,江门·新会区·司前镇,河南中创新航新能源有限公司,"股份制企业
         
          1000-9999人
         
          新能源"
研发管培生,1.1-1.6万,,经验不限,硕士,济南·历下·舜华路,四川新南泰企业管理咨询有限公司,"民营
         
          100-299人
         
          人力资源服务"
商家BD-抖音生活服务（深圳）,9000-17000元,,3-5年,大专,深圳,字节跳动,"民营
         
          10000人以上
         
          互联网"
