职位,薪水,关键词,工作经验,学历,工作地址,公司,公司情况
京东电商运营-天津,7000-10000元,"京东
主管",3-5年,大专,天津·东丽·军粮城,席勒(中国)医疗设备有限公司,"合资
         
          100-299人
         
          医疗设备/器械"
电商平台运营负责人,2.2-2.7万,"京东
抖音小店
淘宝/天猫",5-10年,本科,天津·南开·王顶堤,北京融创控股集团有限公司,"股份制企业
         
          10000人以上
         
          房地产开发"
抖音店铺运营,5000-9000元,"抖音小店
淘宝/天猫
店长",1-3年,本科,天津·西青·精武镇,天津市奇凡科技有限公司,"民营
         
          20-99人
         
          互联网"
电商运营,8000-15000元,"家居电商
电商运营
店铺运营
推广运营
品类运营
天猫运营
B2C",1-3年,本科,天津·武清·徐官屯,天津市澜彩科技有限公司,"民营
         
          20-99人
         
          电子商务"
医美电商运营主管 大型医美医院 要求经验丰富,1.2-2.4万,,5-10年,本科,天津·河西·越秀路,天津华中医疗美容有限公司,"民营
         
          100-299人
         
          医美/健康服务"
得物运营专员,4000-8000元,"得物
淘宝/天猫
京东",1-3年,本科,天津·东丽·新立,天津天石户外用品股份有限公司,"股份制企业
         
          300-499人
         
          耐用消费品"
电商运营经理,1-1.5万,"淘宝/天猫
京东
抖音小店
经理",5-10年,大专,天津·西青·张家窝,北京汇商信诚商业管理有限公司,"民营
         
          100-299人
         
          房地产开发"
电商运营助理,4000-5000元,"1688
淘宝/天猫
助理",经验不限,大专,天津·武清·运河西,天津德昂电子商务有限公司,"民营
         
          20-99人
         
          互联网"
电商运营专员,4000-8000元,"得物
淘宝/天猫
京东",1-3年,本科,天津·东丽·新立,天津天石户外用品股份有限公司,"股份制企业
         
          300-499人
         
          耐用消费品"
天猫店长,8000-10000元,"店铺运营
天猫店长
天猫运营",3-5年,大专,天津·武清·东蒲洼,蓝城云(天津)数据信息技术有限公司,"股份制企业
         
          100-299人
         
          电子商务"
国内电商运营,1-1.6万,"淘宝/天猫
拼多多",3-5年,大专,天津·武清·徐官屯,天津花点馨意工艺品有限公司,"20-99人
         
          贸易/进出口"
电商运营专员,7000-8000元,"淘宝/天猫
京东",1-3年,学历不限,天津·南开·嘉陵道,天津坤淼供应链管理有限公司,"其它
         
          20-99人
         
          零售/批发"
拼多多店铺运营,5000-8000元,"店铺运营
活动运营
淘宝/天猫
拼多多
抖音小店",1-3年,大专,天津·北辰·双街,天津舒柔卫生用品有限公司,"民营
         
          20-99人
         
          卫生服务"
1688运营,8000-13000元,"1688
阿里巴巴国际站
京东
助理
主管",1-3年,本科,天津·武清·运河西,天津德昂电子商务有限公司,"民营
         
          20-99人
         
          互联网"
电商运营,7000-12000元,"短视频平台
抖音
微信视频号",1-3年,大专,天津·西青·杨柳青,华良(天津)科技有限公司,"民营
         
          20-99人
         
          电子商务"
集团电商总监,3-5万,"淘宝/天猫
京东
抖音小店
经理
总监
电商运营",10年以上,本科,天津·武清·运河西,猎仁有道(北京)人力资源有限公司,"民营
         
          500-999人
         
          人力资源服务"
