职位,薪水,经验,学历,关键词,工作地址
【日结】潍坊必胜客招募兼职服务员(过年供班就近安排)/J16525,1500-3000元,经验不限,学历不限,职位描述中餐厅西餐厅连锁品牌全勤奖金免费工装节日福利节假日三薪免费培训您将从事： 对客服务类工作：满足顾客需要，给顾客带来完美用餐体验 产品制作类工作：参与比萨、牛排等多种产品的制作，学习国际连锁西餐厅的高标准制作工艺招聘对象：在校生可在周末、寒暑假等课余时间提供工时 有本职工作，利用空余时间到餐厅兼职  辞职过度、实习兼职都可以  您需具备：   18周岁以上，55岁以下   有服务热情，能适应快速工作节奏   有良好的沟通能力和团队配合精神  您将得到：   “关爱成员的大家庭”企业文化   与年轻的伙伴快乐共事，感受充满激情的团队氛围   弹性安排工作时间，按时计算报酬   工作容易上手，工作强度有张有弛，岗位之间合理轮换  薪资福利：   时薪制，享受雇主责任险，早晚班津贴   系统专业的培训，提升职场经验和软性技能  发展空间：   服务员→训练员→值班组长→更高管理职位,"工作地点
潍坊奎文区必胜客(谷德广场店)谷德广场必胜客
查看地图"
【可日结】金狮广场必胜客招晚班兼职服务员J16621,2500-3500元,经验不限,学历不限,"职位描述
西餐厅
咖啡店
甜品店
免费工装
就近分配
时间灵活
带薪培训
法定节假日三薪
【工作内容】
满足顾客需要，从事基础工作（接待、传餐、收银等），给顾客带来完美用餐体验。
产品制作类工作：直接参与食品、饮料等多种产品的制作，学习国际连锁西餐厅的高标准制作工艺。
【招聘对象】
学生兼职：年满18周岁，在校大学生，有学生证
社会兼职：18-60周岁，有正职+职工社保，或退休证
灵活用工：空余时间多，灵活排班
【岗位要求】
1、年满18周岁
2、热情开朗，正直诚信，善于与人沟通
3、适应快节奏、高效的工作环境
【薪资福利】报酬+补贴，特惠员工餐，就近分配，弹性工作制，环境好，带薪培训，时间灵活，免费工装J","工作地点
青岛崂山区必胜客(金狮广场店)必胜客
查看地图"
越华服务员包吃住,4000-5000元,广卫,经验不限,"职位描述
中餐厅
火锅店
甜品店
包吃包住
节日福利
加班补贴
【工作职责】：
1.负责店内卫生的清理，负责接待、下单
2.接待顾客主动、热情、耐心、周到
3.做好餐厅的卫生清洁，供餐完毕后对餐厅地面、桌面进行卫生清理
【职位要求】：
能吃苦耐劳，踏实肯干
【薪资待遇】：工资4500-5000，包吃住，月休4天
【工作地点】：广州市越秀区越华路112号珠江国际大厦","工作地点
广州越秀区珠江国际大厦-南门
查看地图"
KFC服务员兼职招聘非学生,5000-6000元,经验不限,学历不限,"职位描述
西餐厅
奶茶店
咖啡店
免费工装
加班补贴
节日福利
肯德基就近安排门店 可全职可兼职
【工作时间】:多时段可选择，八小时工作制
【工作内容】:餐厅服务，卫生清扫，接待点餐等等
【薪资待遇】18.5元/时+早晚班补贴5元/时，
法休出勤30元/时
【工作地址】就近安排（才子府/金星北路/长沙星珑湾等等）","工作地点
岳麓区肯德基(长沙中海阅麓山店)18101
查看地图"
火热招聘寿司店兼职服务员时薪23.5元/时,2000-4000元,经验不限,学历不限,"职位描述
免费工装
节日福利
加班补贴
日料店
寿司店
餐饮店
22-40岁
服务员
日料店兼职服务员
寿司郎店兼职服务员
工作职责：
负责楼面接待、点菜下单、台面清洁
招聘要求：
男女不限，22-40岁，无纹身，无刺青，无皮肤病
一周至少3天，，能接受晚班，长期兼职优先考虑
薪资待遇：
兼职时薪23.5元/小时；不包吃住，月工时满167H后算1.5倍工资，月结薪资，每个月15号发薪
发展：表现优秀的，后期是可以转全职岗位的，往领班，主管，店长等方向发展
上班时间：
9:00-18:00 或 13:00-23:00 或 17:00-23:30，6-8小时排班（不固定班次，服从门店安排），一周至少能出勤三天（周末能出勤）
其它：办理健康证入职满三个月可报销","工作地点
厦门湖里区SM城市广场-一期SM城市广场-一期 五楼寿司郎
查看地图"
台球/服务员6500++管吃住,5000-6000元,经验不限,学历不限,"职位描述
包吃包住
全勤奖金
管吃管住6500++
男女不限
负责摆球
打扫卫生","工作地点
北京大兴区庞各庄镇
查看地图"
6000火锅店服务员+包吃包住+可干一个月,6000-9000元,经验不限,学历不限,"职位描述
中餐厅
西餐厅
火锅店
包吃包住
加班补贴
工龄奖金
免费工装
晋升空间大
包吃住
连锁店就近分配
诚聘普通传菜员/服务员2男女（不要短期）必须有经验/领宾员0名(此岗位必须提供全身照片，并要求五官清晰)
工资：5000-6000元面试定（9:30--打烊）排早晚班具体看门店安排（工作10小时无加班费）","工作地点
又一號老北京铜锅涮肉(前门总店)北京市东城区西打磨厂街51号
查看地图"
山姆超市服务员/包吃住/月1.1W,7000-8000元,经验不限,学历不限,"职位描述
包吃包住
工龄奖金
全勤奖金
超市
早10晚8，月休4天
入职当天可办理入住
可预支，0元入职，就近安排
任职要求：身体健康","工作地点
长沙雨花区洞井商贸城
查看地图"
【日结】诸城必胜客招募兼职服务员(过年供班)/J16527,1500-3000元,经验不限,学历不限,职位描述中餐厅西餐厅连锁品牌全勤奖金免费工装节日福利节假日三薪免费培训您将从事： 对客服务类工作：满足顾客需要，给顾客带来完美用餐体验 产品制作类工作：参与比萨、牛排等多种产品的制作，学习国际连锁西餐厅的高标准制作工艺招聘对象：在校生可在周末、寒暑假等课余时间提供工时 有本职工作，利用空余时间到餐厅兼职  辞职过度、实习兼职都可以  您需具备：   18周岁以上，55岁以下   有服务热情，能适应快速工作节奏   有良好的沟通能力和团队配合精神  您将得到：   “关爱成员的大家庭”企业文化   与年轻的伙伴快乐共事，感受充满激情的团队氛围   弹性安排工作时间，按时计算报酬   工作容易上手，工作强度有张有弛，岗位之间合理轮换  薪资福利：   时薪制，享受雇主责任险，早晚班津贴   系统专业的培训，提升职场经验和软性技能  发展空间：   服务员→训练员→值班组长→更高管理职位,"工作地点
潍坊诸城市必胜客(广场路店)百盛商场必胜客
查看地图"
机场餐厅服务员,4000-6000元,1-3年,高中,"职位描述
中餐厅
包吃包住
工作内容:
1、按照主管安排认真做好桌椅、餐厅卫生，餐厅铺台，准备好各种用品，确保正常营业使用
2、接待顾客应主动、热情、礼貌、耐心、周到
3、运用礼貌语言，为客人提供最佳服务
4、善于向顾客介绍和推销本餐厅饮品及特色菜点
任职资格：
1、品行端正，能吃苦耐劳，高中以以上学历；
2、性格开朗，沟通能力强，有责任心有服务意识3有饭店工作经验者优先。
3、上班时间:早上8:00--晚上8:00。","工作地点
新郑市郑州新郑国际机场-T2航站楼
查看地图"
