职位,薪水,经验,学历,关键词,工作地址
急招服务员月入6000包吃包住,5000-6000元,三里屯,经验不限,"职位描述
中餐厅
西餐厅
火锅店
包吃包住
全勤奖金
节日福利
免费工装
法定三薪
可预知工资
餐饮
【岗位职责】：上菜 餐具摆放 服务态度好就可以 努力勤奋，踏实肯干
【上班待遇】：包吃包住 法定三薪 加班有加班费
【薪资构成】：薪资6000","工作地点
北京朝阳区三里屯1
查看地图"
服务员（五棵松）,5000-6000元,经验不限,学历不限,"职位描述
中餐厅
包吃包住
工作职责：
1.负责店内卫生的清理，负责接待、下单
2.接待顾客主动、热情、耐心、周到
3.做好餐厅的卫生清洁，供餐完毕后对餐厅地面、桌面进行卫生清理
职位要求：
能吃苦耐劳，踏实肯干
薪资待遇：
5-6k/月，包吃包住，","工作地点
北京海淀区小大董(五棵松店)
查看地图"
（J39842）北京肯德基总部直招/朝阳区/花家地KPRO 肯德基 服务员 就近分配/80011989,4001-5000元,经验不限,高中,职位描述西餐厅加班补贴全勤奖金  肯德基总部直聘全职兼职服务员，肯德基门店就近分配，时间地点你决定，上班全都看心情，欢迎您的加入！  【工作地点】：肯德基门店就近分配，您可以地图搜索您上班方便的肯德基门店  【福利待遇】：  1、肯德基门店就近分配，无试用期，无押金  2、上班员工享受企业内部专享特惠员工餐  3、工作时间灵活，长短期均可，根据您的空闲时间和餐厅需求进行排班，5-8小时均可，月工作180小时享受额外的月度全勤奖  4、学生兼职可提供实习证明，体验制度成熟的管理运作模式，有广阔的发展空间，大专学历在毕业前可升迁为储备经理  5、享有高颜值的工作环境，免费提供时尚高颜值制服，全方位开放的中央空调，冬暖夏凉，员工休息室内冰箱，饮水机，微波炉，数字电视，wifi上网一应俱全职位福利：节日福利、弹性工作、夜班津贴、免费培训、兼职全职皆可  职位亮点：餐饮服务卫生清洁宴会服务西餐厅服务,"工作地点
北京朝阳区花家地北里
查看地图"
私宴服务员,5000-7000元,经验不限,学历不限,"职位描述
包吃包住
周末双休
节日福利
免费工装
该职位为内部单位宴请服务员
一、薪资福利
综合薪资5.5-6.5K，包吃包住，周末双休，法定节假日带薪休假，满一年享5天带薪年休假、缴纳五险、三节福利
晋升空间大：服务员-主管-项目副经理-项目经理
二、任职要求
1、身体健康、心想气质佳、品貌端正
2、年龄35岁以下，身高160以上
3、亲和力佳、能吃苦耐劳、学习能力强、有服务意识
4、有餐饮行业从业经验优先
三、岗位职责
1、负责内部单位宴请接待服务
2、无接待时负责协助餐厅对客接待
3、负责店面卫生前台的清洁等
4、上级领导安排的其他工作
面试地址：上海市浦东新区东园路18号金融信息中心
工作地址：上海市青浦区诸光路","工作地点
上海青浦区诸光路
查看地图"
连锁餐饮服务员,3000-4000元,1年以下,中专/中技,"职位描述
中餐厅
岗位职责：
1、按时到岗，接受主管分配的任务。
2、做好所辖区域环境、物品设备、餐具用具的卫生清洁工作。
3、做好开餐前的各项准备工作，及时按要求补充各种物品。
4、按照标准和要求，规范摆台，布置餐厅，了解预定及菜品酒水信息。
5、按照餐厅规定的服务标准和程序细心周到地做好各个环节（如迎客、点菜、巡台、起菜、买单、送客等）的对客服务工作。
任职要求：
1.身材相貌佳，无纹身，无犯罪记录。","工作地点
太原小店区山姆士广场(学府街店)
查看地图"
北京肯德基总部直招/丰台区/成寿寺肯德基-全职兼职服务员 就近分配/86001274,4000-5000元,经验不限,高中,"职位描述
餐饮服务
洗碗工
客房服务
传菜员
西餐厅服务员
卫生清洁
迎宾
食品健康证（A类）
酒店/民宿
肯德基总部直聘全职兼职服务员，肯德基门店就近分配，时间地点你决定，上班全都看心情，欢迎您的加入！
【工作地点】：肯德基门店就近分配，您可以地图搜索您上班方便的肯德基门店
【福利待遇】：
1、肯德基门店就近分配，无试用期，无押金
2、上班员工享受企业内部专享特惠员工餐
3、工作时间灵活，长短期均可，根据您的空闲时间和餐厅需求进行排班，5-8小时均可，月工作175小时享受额外的月度全勤奖
4、法定节假日三倍薪资，全职可享带薪年假、病假、婚假、产假等
5、学生兼职可提供实习证明，体验制度成熟的管理运作模式，有广阔的发展空间，大专学历在毕业前可升迁为储备经理
6、享有高颜值的工作环境，免费提供时尚高颜值制服，全方位开放的中央空调，冬暖夏凉，员工休息室内冰箱，饮水机，微波炉，数字电视，wifi上网一应俱全
职位福利：五险一金、带薪年假、节日福利、弹性工作、夜班津贴、免费培训、兼职全职皆可

职位亮点：餐饮服务卫生清洁宴会服务西餐厅服务","工作地点
北京朝阳区成寿寺(地铁站)
查看地图"
北京肯德基总部直招/朝阳区/木偶剧院 肯德基-全职兼职服务员 就近分配/86001263,4001-5000元,经验不限,高中,"职位描述
餐饮服务
洗碗工
客房服务
传菜员
西餐厅服务员
卫生清洁
迎宾
食品健康证（A类）
餐饮服务
肯德基总部直聘全职兼职服务员，肯德基门店就近分配，时间地点你决定，上班全都看心情，欢迎您的加入！
【工作地点】：肯德基门店就近分配，您可以地图搜索您上班方便的肯德基门店
【福利待遇】：
1、肯德基门店就近分配，无试用期，无押金
2、上班员工享受企业内部专享特惠员工餐
3、工作时间灵活，长短期均可，根据您的空闲时间和餐厅需求进行排班，5-8小时均可，月工作175小时享受额外的月度全勤奖
4、法定节假日三倍薪资，全职可享带薪年假、病假、婚假、产假等
5、学生兼职可提供实习证明，体验制度成熟的管理运作模式，有广阔的发展空间，大专学历在毕业前可升迁为储备经理
6、享有高颜值的工作环境，免费提供时尚高颜值制服，全方位开放的中央空调，冬暖夏凉，员工休息室内冰箱，饮水机，微波炉，数字电视，wifi上网一应俱全
职位福利：五险一金、带薪年假、节日福利、弹性工作、夜班津贴、免费培训、兼职全职皆可

职位亮点：餐饮服务卫生清洁宴会服务西餐厅服务","工作地点
北京朝阳区安华桥(地铁站)
查看地图"
餐厅服务员,5000-7000元,1年以下,初中及以下,"职位描述
中餐厅
包吃包住
身高158以上
融合菜
1.餐前准备
2.迎客
3.餐中服务
4.结账
5.收台","工作地点
北京朝阳区北辰福第V中心-D座
查看地图"
餐厅服务员,3000-4000元,无经验,初中及以下,"职位描述
包吃包住
加班补贴
免费工装
工龄奖金
节日福利
中餐厅
酒店
工作内容:
1、按照主管安排认真做好桌椅、餐厅卫生，餐厅铺台，准备好各种用品，确保正常营业使用
2、接待顾客应主动、热情、礼貌、耐心、周到
3、运用礼貌语言，为客人提供最佳服务
4、善于向顾客介绍和推销本餐厅饮品及特色菜点
5、配合主管工作，服从主管或以上领导指挥，团结及善于帮助同事工作；
6、积极参加培训，不断提高服务技能。
任职资格：
品行端正，能吃苦耐劳，初中以以上学历","工作地点
四川省成都市青羊区石人南路二号(草堂北路地铁站D口步行120米)消防成都疗养所
查看地图"
包吃住服务员,4000-5000元,无经验,学历不限,"职位描述
接受无经验
快餐类门店
18-35岁 薪资4000＋
包吃住 春节有假期 社保 聚餐
有无经验均可 接受小白","工作地点
城阳区青岛世茂52+购物中心
查看地图"
急招服务员 待遇：7000 可预支工资,6000-8000元,程家桥,经验不限,"职位描述
服务员
中餐厅
火锅店
西餐厅
包吃包住
加班补贴
全勤奖金
工龄奖金
法定三薪
节日福利
晋升空间
1 岗位：服务员(上海门店就近分配~）
2 福利：综合薪资6000-7000
3时间：基本8小时工作制 月休4天 法定三薪 生日福利
诚信招聘 鸽子勿扰~","工作地点
上海闵行区虹桥奕境文创园1
查看地图"
7天预支 月9200坡子街饮料零食配送服务员,7000-8000元,西牌楼,经验不限,"职位描述
快餐厅
自助餐厅
便利店
超市
餐饮服务
居民服务
🔗职位要求：18-50周岁，男女不限，身体健康 🔗薪资福利： 1.综合（8000-11000元/️） 2.提供住宿（环境好，空调，洗衣机，热水器，设施齐全） 4.就近分配 5.餐补、节日红包、夜宵补助、新人奖励！ 🔗工作时间： 8小时在岗即可，其余时间自行安排 🔎我们需要你，你更需要发现自己！

职位福利：五险一金、交通补助、通讯补助、包住、弹性工作、高温补贴、试用期全额

职位亮点：月入过万，晋升空间大，团队氛围好","工作地点
长沙天心区坡子街美食城118
查看地图"
大庆海底捞餐饮急聘服务员,4000-6000元,经验不限,学历不限,"职位描述
火锅店
包吃包住
工龄奖金
免费工装
节日福利
一、【招聘岗位】
服务员、门迎、传菜员、后厨、保洁、洗碗工等。
二、【职位要求】
1.学历不限；
2.身体状况符合国家餐饮行业要求；
3.无不良记录和嗜好。
三、【薪资标准】
大庆海底捞全勤综合工资4500-6000元/月，实行计件工资制，多劳多得，入职后门店根据岗位评定初、中、高级员工，包食宿（企业宣讲期间除外）。
四、【正式工福利待遇】
1.正式员工入职经店经理审批同意后，报销家庭地址到工作地的硬座火车票及汽车票；工作满半年公司予以报销办理健康证费用；
2.正式员工可享受带薪年休假；
3.符合条件的员工（夫妻双职工、店经理等）可享有公司提供的住房补贴；
4.凡在公司工作满三年的员工其子女可享受 2000-5000 元/年不等的教育补贴；
5.大堂经理级别员工父母可享受 400 元/月的父母补贴；店经理级别父母可享受 1600 元/月的父母补贴；
6.员工本人和直系亲属在门店用餐享受5-8折优惠（高峰期、法定节假日等除外）；
7.上述福利待遇的享受条件和适用范围以公司福利制度为准。
五、【发展途径】（经竞聘考核后可入职）
途径一：服务员—服务/门迎担当--大堂/后堂/值班经理--店经理；
途径二：职能部门（人力资源部、信息科技部、会员运营部、公共事务部等）。
六、【注意事项】
面试需提供个人身份证原件或身份证明材料。","工作地点
大庆让胡路区海底捞火锅(让胡路万达店)1店
查看地图"
东营天瑞肯德基兼职后厨服务员J13515,2000-3000元,经验不限,学历不限,"职位描述
西餐厅
【工作内容】
你将从事：
对客服务类工作：满足顾客需要，给顾客带来完美用餐体验
产品制作类工作：直接参与食品、饮料等多种产品的制作工作，学习国际连锁西餐厅的高标准制作工艺
【招聘对象】
年满18周岁，学生兼职、社会兼职均可
【福利待遇】
1、 有竞争力的工资待遇+补贴
2、 法定节假日3薪；
3、员工折扣餐、集体家族活动、优秀员工奖品奖励；
【发展空间】
服务员→楼面经理→餐厅副经理→更高管理职位..","工作地点
肯德基(天瑞店)山东省东营市东营区胶州路149号一层
查看地图"
（J306512）北京肯德基总部直招/朝阳/朝阳北路DT 肯德基-全职兼职服务员 就近分配/86001878,4001-5000元,经验不限,高中,"职位描述
餐饮服务
洗碗工
客房服务
传菜员
西餐厅服务员
卫生清洁
迎宾
食品健康证（A类）
餐饮服务
肯德基总部直聘全职兼职服务员，肯德基门店就近分配，时间地点你决定，上班全都看心情，欢迎您的加入！
【工作地点】：肯德基门店就近分配，您可以地图搜索您上班方便的肯德基门店
【福利待遇】：
1、肯德基门店就近分配，无试用期，无押金
2、上班员工享受企业内部专享特惠员工餐
3、工作时间灵活，长短期均可，根据您的空闲时间和餐厅需求进行排班，5-8小时均可，月工作175小时享受额外的月度全勤奖
4、法定节假日三倍薪资，全职可享带薪年假、病假、婚假、产假等
5、学生兼职可提供实习证明，体验制度成熟的管理运作模式，有广阔的发展空间，大专学历在毕业前可升迁为储备经理
6、享有高颜值的工作环境，免费提供时尚高颜值制服，全方位开放的中央空调，冬暖夏凉，员工休息室内冰箱，饮水机，微波炉，数字电视，wifi上网一应俱全

职位福利：五险一金、带薪年假、节日福利、弹性工作、夜班津贴、免费培训、兼职全职皆可

职位亮点：餐饮服务卫生清洁宴会服务西餐厅服务","工作地点
北京朝阳区黄渠地铁站B东北口
查看地图"
（J31722）北京肯德基总部直招/朝阳区/安贞桥东KPRO 肯德基 服务员 就近分配/80011988,4001-5000元,经验不限,高中,职位描述西餐厅加班补贴全勤奖金  肯德基总部直聘全职兼职服务员，肯德基门店就近分配，时间地点你决定，上班全都看心情，欢迎您的加入！  【工作地点】：肯德基门店就近分配，您可以地图搜索您上班方便的肯德基门店  【福利待遇】：  1、肯德基门店就近分配，无试用期，无押金  2、上班员工享受企业内部专享特惠员工餐  3、工作时间灵活，长短期均可，根据您的空闲时间和餐厅需求进行排班，5-8小时均可，月工作175小时享受额外的月度全勤奖  4、法定节假日三倍薪资，全职可享带薪年假、病假、婚假、产假等  5、学生兼职可提供实习证明，体验制度成熟的管理运作模式，有广阔的发展空间，大专学历在毕业前可升迁为储备经理  6、享有高颜值的工作环境，免费提供时尚高颜值制服，全方位开放的中央空调，冬暖夏凉，员工休息室内冰箱，饮水机，微波炉，数字电视，wifi上网一应俱全职位福利：五险一金、带薪年假、节日福利、弹性工作、夜班津贴、免费培训、兼职全职皆可  职位亮点：餐饮服务卫生清洁宴会服务西餐厅服务,"工作地点
北京朝阳区安贞门
查看地图"
服务员（泰餐）,6000-7000元,经验不限,学历不限,"职位描述
网红餐厅
东南亚菜
泰餐
岗位职责：
1、负责根据餐厅经理、主管分配的任务，按照服务标准完成领位、点菜、传菜、上菜、扫台、翻台、送客等工作；
2、随时观察客人用餐情况，及时满足客人的各种用餐需求以确保高水准的服务；
3、受理简单的客户投诉；
4、积极维护客户关系，完成领导交办的其他工作。
任职资格：
1、男女不限，身材匀称，五官端正，无纹身，无不良嗜好；
2、持健康证，普通话标准。
工作地址：
北京市朝阳区建国门外大街永安东里8号 华彬中心
工作日9:30-16:30，欢迎来电沟通，85288837张女士。","工作地点
北京市朝阳区建国门外大街永安东里8号 华彬中心
查看地图"
丹东海底捞餐饮急聘服务员门迎,5000-6000元,经验不限,学历不限,"职位描述
火锅店
包吃包住
工龄奖金
免费工装
一、【招聘岗位】
服务员、门迎、传菜员、后厨、保洁、洗碗工等。
二、【职位要求】
1.学历不限；
2.身体状况符合国家餐饮行业要求；
3.无不良记录和嗜好。
三、【薪资标准】
丹东海底捞全勤综合工资4400-8000元/月，实行计件工资制，多劳多得，入职后门店根据岗位评定初、中、高级员工，包食宿（企业宣讲期间除外）。
四、【正式工福利待遇】
1.正式员工入职经店经理审批同意后，报销家庭地址到工作地的硬座火车票及汽车票；工作满半年公司予以报销办理健康证费用；
2.正式员工可享受带薪年休假；
3.符合条件的员工（夫妻双职工、店经理等）可享有公司提供的住房补贴；
4.凡在公司工作满三年的员工其子女可享受 2000-5000 元/年不等的教育补贴；
5.大堂经理级别员工父母可享受 400 元/月的父母补贴；店经理级别父母可享受 1600 元/月的父母补贴；
6.正式员工可享受五险一金；
7.员工本人和直系亲属在门店用餐享受5-8折优惠（高峰期、法定节假日等除外）；
8.上述福利待遇的享受条件和适用范围以公司福利制度为准。
五、【发展途径】（经竞聘考核后可入职）
途径一：服务员—服务/门迎担当--大堂/后堂/值班经理--店经理；
途径二：职能部门（人力资源部、信息科技部、会员运营部、公共事务部等）。
六、【注意事项】
面试需提供个人身份证原件或身份证明材料。","工作地点
丹东振兴区海底捞火锅(天赐未来城店)
查看地图"
服务员,3000-4000元,经验不限,中专/中技,"职位描述
包吃包住
全勤奖金
工龄奖金
免费工装
中餐厅
休闲/娱乐
一、【招聘岗位】
服务员
二、【岗位要求】
1、18-45周岁，学历不限；
2、身体状况健康；
3、服从管理，无不良记录和嗜好；
4、能接受三班倒。
三、【薪资标准】
综合薪资3000-4000元
四、【福利待遇】
1、法定节假日；
2、包吃包住。","工作地点
海南省海口市龙华区海韵裕都
查看地图"
雅安万达/卓达-肯德基兼职中晚班服务员-免费带训,90-100元/天,经验不限,初中及以下,职位描述西餐厅免费工装节日福利免费培训就近分配【工作地点】  雅安万达、雅安卓达肯德基 11-20、15:30-24:00下班  无押金！免费培训！    社会兼职&学生兼职（最少三个月）  【工作要求】：学生兼职（年满18岁在校学生）和社会兼职（接受晚班）  【工作内容】：前台点餐配餐、大厅服务、总配制作、厨房炸烤以及清洗。前期会有免费带训，不用担心。  【工作时间】：弹性工作时间，不影响您的学习或正常工作（每周可规划20小时以上供班，每次5-8小时，可持续3个月以上）  【薪资待遇】：时薪制（综合基本时薪14-16元/小时），多劳多得，享受法定节假日加班工资，还有丰富的员工活动和奖励机制晋升的机会，工作环境舒适（中央空调、专用员工休息室、微波炉、冰箱等），欢乐的工作氛围。    若不符合餐厅自有用工条件，可以以其他方式入职。,"工作地点
雅安雨城区肯德基卓达广场店(东大街餐厅)
查看地图"
餐厅服务员,3000-4000元,经验不限,学历不限,"职位描述
中餐厅
工龄奖金
【岗位职责】
1. 热情接待到店顾客，引导入座、递送菜单，耐心解答菜品、优惠等咨询；
2. 准确记录顾客点餐需求，及时传递至后厨，确保餐品、饮品无误送达；
3. 用餐过程中主动跟进服务，及时添水、换餐具，处理顾客简单需求，提升用餐体验；
4. 餐后快速清理餐桌、整理餐具，维护就餐区域卫生整洁；
5. 配合店长及其他岗位工作，遵守餐厅规章制度，完成日常服务任务。
【任职要求】
1. 年龄18-45周岁，男女不限，身体健康，无传染性疾病（需持有效健康证）；
2. 沟通表达清晰，服务意识强，态度热情耐心，能主动配合团队工作；
3. 有无餐饮服务经验均可，新手可免费培训，踏实肯干、责任心强优先；
4. 能适应餐饮行业工作时间（含午晚高峰、周末及节假日轮班），服从排班安排。
【薪资福利】
1. 薪资构成：底薪3000元+绩效提成（翻台/点餐提成）+工龄奖，多劳多得；
2. 福利保障：免费提供食宿（宿舍有空调、热水器）、每月休假4-5天、法定节假日调休补助、定期员工聚餐/团建、；
3. 成长空间：完善岗前培训+在岗提升指导，表现优秀者可晋升领班、主管岗位。","工作地点
唐山路北区大里路/北新西道(路口)
查看地图"
定海肯德基服务员就近安排(J14043),3000-4000元,经验不限,学历不限,"职位描述
西餐厅
加班补贴
全勤奖金
免费工装
岗位职责:
你将从事：
- 对客服务类工作：满足顾客需要，给顾客带来完美用餐体验
- 产品制作类工作：直接参与食品、饮料等多种产品的制作工作，学习国际连锁西餐厅的高标准制作工艺
你将得到：
- 系统正规的培训，广阔的发展空间：
- “关爱成员的大家庭”企业文化
- 与年轻的伙伴快乐共事，感受充满激情的团队氛围
- 弹性安排工作时间
- 丰富多彩的团队活动
你的发展空间：
系统正规的培训，由你自己主导自我发展
服务员— 楼面经理—更高管理职位...
任职要求:
1、年龄满18周岁以上，高中或同等以上学历
2、热情开朗，正直诚信，善于与人沟通，有团队精神
3、适应快节奏、高效的工作环境
4、乐于从事连锁餐饮零售业","工作地点
定海区体育场路与定沈路交汇处舟山市区就近安排
查看地图"
八小时服务员可带手机带朋友,3000-5000元,经验不限,学历不限,"职位描述
中餐厅
包吃包住
全勤奖金
工龄奖金
免费工装
节日福利
工作职责：
1.负责店内卫生的清理，负责接待、下单
2.接待顾客主动、热情、耐心、周到
3.做好餐厅的卫生清洁，供餐完毕后对餐厅地面、桌面进行卫生清理
职位要求：18-45 170往上 无前科 无大面积纹身
能吃苦耐劳，踏实肯干","工作地点
焦作武陟县武陟瀚海国际酒店(黄河交通学院高铁站店)
查看地图"
餐饮服务员,6000-8000元,积水潭,1-3年,职位描述公司内部餐厅工作内容:1、负责为领导提供茶水及餐饮服务（包含确保会所正常营业使用；热情礼貌的接待顾客，为客人提供周到的服务，餐前检查、各种用品的准备、餐桌摆台、迎宾接待、引领入座、上菜斟酒、席间服务(分菜，分汤)、盘物品补充、 帮助客人解决就餐过程中的问题，为客人解答疑问，时刻关注客人需求，迅速反应，主动为客人更换餐具，茶水服务、送客等）确保高品质用餐体验，熟悉菜品酒水及礼仪流程；2、负责会所做好餐前和餐后清洁工作，保持环境整洁，确保餐具清洁的环境卫生整洁；3、负责领导的接待、引导，日常办公室清洁和维护等工作‌；4、负责办公室景观布置与维护，设备维系保养；5、做好公司商务接待宴请参观等，完成领导交办的其他工作6、配合主管工作，服从主管或以上领导指挥，团结及善于帮助同事工作。任职资格： 1、品行端正，能吃苦耐劳，初中以以上学历；  2、身高160以上，年龄35岁以下，形象气质佳。     暂时不能提供食宿，请自行安排。,"工作地点
北京西城区西海东沿10号西海云美小院
查看地图"
大东餐厅服务员,3000-4000元,大北,经验不限,职位描述中餐厅岗位1：餐厅服务员（2名）男女不限  1、负责餐厅顾客的服务工作，包括点餐、送餐、桌面 ；    2、接待顾客主动热情、耐心周到；      3、做好所辖区域环境、物品设备、餐具用具的卫生清洁工作；     4、按照标准和要求，规范摆台，布置餐厅，了解预定及菜品酒水信息。  岗位2：负责餐厅撤台（1人）男女不限  岗位3：洗菜工（1人）男女不限  岗位4：操作工（零活1人）男女不限  1、55岁以内，吃苦耐劳； 2、干活麻利，完成领导交代的工作。,"工作地点
沈阳大东区沐都药浴
查看地图"
高薪急聘KTV服务员薪资待遇高,4000-5000元,经验不限,学历不限,"职位描述
包吃包住
KTV
晋升空间大
1任职要求:可以接受无任何经验，18岁-28岁，五官端正，形象气质佳优先!2福利待遇:7小时工作制，晋升空间大，环境好，包吃住，包三餐，热水器，wif，储物柜，空调全都有。3工作时间:
17:00至凌晨12.004工作内容:在私人定制的VIP房帮忙点歌，下单酒水小吃水果及送到VIP房，清理台面食物打扫卫生等。5量贩式KTV招人服务员","工作地点
萍乡市-安源区-萍安大道2期2栋
查看地图"
餐厅服务员,4000-6000元,1-3年,高中,"职位描述
中餐厅
加班补贴
免费工装
一、 岗位核心职责
1、日常接待服务： 负责餐前准备、餐中服务和餐后收尾工作，严格按照服务标准为客人提供周到、高效的用餐体验。
2、宾客关系维护： 主动、热情地迎接和引导顾客，善于观察，及时响应并满足客人的合理需求。
3、包间专项服务： 具备包间服务经验，能够独立或协作完成包间的全程对客服务，包括酒水斟倒、菜品介绍、上菜分餐等。
4、菜品与营销推荐： 熟悉菜单、酒水单及当期促销活动，能向客人进行准确、生动的介绍和推荐。
5、环境与设施维护： 负责责任区域的环境卫生清洁、餐具摆放及设施设备检查，确保达到餐厅的定置定位与卫生标准。
6、团队协作： 与后厨、传菜等同事保持良好沟通，积极配合，确保服务工作顺畅无误。
二、 任职资格要求
（一） 基本条件
1、性别与年龄： 女性，35周岁以下。
2、形象要求： 形象端正，气质良好，有亲和力。
3、工作经验： 有餐饮服务经验者优先，具备包间服务经验者将重点考虑。
4、沟通能力： 语言表达流畅，善于沟通，具备良好的服务意识。
5、工作时间：9：00-13：00 16：30-21：00
（二） 核心能力与素质
1、出色的服务意识： 真心热爱服务工作，能主动为客人着想，提供贴心服务。
2、灵活的应变能力： 具备处理日常服务中突发小状况的耐心和灵活性。
3、强烈的团队精神： 有集体荣誉感，服从管理，能与团队成员和谐相处，紧密合作。
4、吃苦耐劳精神： 能够适应餐饮行业的工作节奏和强度，工作积极主动，责任心强。
5、学习能力： 愿意学习新的服务知识和技能，不断提升业务水平。","工作地点
榆林横山区一只羊餐厅圣景名苑小区17-1号楼3层商铺
查看地图"
急招雅安卓达/万达-肯德基长期晚班兼职服务员,90-100元/天,经验不限,初中及以下,职位描述西餐厅免费工装节日福利免费培训就近分配【工作地点】  雅安万达、雅安卓达肯德基 需五个月及以上兼职！！！接受24点下班！！！！  无押金！免费培训！    社会兼职&学生兼职（最少五个月）  【工作要求】：学生兼职（年满18岁在校学生）和社会兼职（接受晚班）  【工作内容】：前台点餐配餐、大厅服务、总配制作、厨房炸烤以及清洗。前期会有免费带训，不用担心。  【工作时间】：弹性工作时间，不影响您的学习或正常工作（每周可规划20小时以上供班，每次5-8小时，可持续3个月以上）  【薪资待遇】：时薪制（综合基本时薪14-16元/小时），多劳多得，享受法定节假日加班工资，还有丰富的员工活动和奖励机制晋升的机会，工作环境舒适（中央空调、专用员工休息室、微波炉、冰箱等），欢乐的工作氛围。    若不符合餐厅自有用工条件，可以以其他方式入职。,"工作地点
雅安雨城区肯德基卓达广场店(东大街餐厅)
查看地图"
攀枝花城区-肯德基兼职服务员-大量招、就近分配,80-100元/天,经验不限,初中及以下,"职位描述
西餐厅
免费工装
节日福利
免费培训
就近分配
【无押金、免费培训、就近安排、大企业有保障！】
【寒暑假工需要可做完一整个假期，并接受按全职排班！】

【任职要求】：性别不限，身体健康，身份证上年满18-55周岁。
【供班要求】：稳定供班4-6月以上，每周至少可来3天，餐厅会根据业务需要一周排班3-6天。
【工作内容】：柜台点餐、堂食区清洁、后厨备餐(腌制食材、油炸、煎烤、切配等)、餐品制作、厨房清洁、库房整理等，会有专人免费带训不用担心。
【工作时段】
排班制，餐厅因实际营业时间不同，会有部分差异。
早班：07:00-15:00 (供参考）
晚班：15:00-23:00 (供参考）
【福利待遇】
时薪制计薪，多劳多得，约100/天，享受法定节假日加班工资；
工作环境舒适（中央空调、专用员工休息室、微波炉、冰箱等）。","工作地点
东区肯德基(攀枝花万达店)
查看地图"
餐厅服务员五险一金三薪包吃住,3000-6000元,1-3年,学历不限,"职位描述
五险
包吃
餐厅服务员
1.60米以上，1.70米以上。18-35以内。普通话标准，有餐厅服务经验者优先。
包吃住，上六休一，
时间8小时。早餐6点30到10点30，中午10点50到14点30，晚上16点50到21点30。法定假日休不休节假日三倍工资。五险一金，薪资3500税前，每月15号发工资，没有提成
丰台区西罗园北附近","工作地点
北京市-丰台区-西罗园北路西罗园一区甲2号
查看地图"
孙武路店PH必胜客餐厅兼职服务员J14493,2000-3500元,经验不限,学历不限,"职位描述
中餐厅
西餐厅
火锅店
加班补贴
免费工装
【工作内容】
对客服务类工作：满足顾客需要，从事基础服务类工作（接待、传餐、服务等），给顾客带来完美用餐体验。
产品制作类工作：直接参与食品、饮料等多种产品的制作，学习国际连锁西餐厅的高标准制作工艺。
【招聘对象】
学生兼职：年满18周岁，在校大学生，有学生证
社会兼职：18-60周岁，有正职+职工社保，或退休证
灵活用工：空余时间多，灵活排班
实习生：专三/本四可全天实习的学生。
【岗位要求】
1、年满18周岁
2、热情开朗，正直诚信，善于与人沟通
3、适应快节奏、高效的工作环境
【薪资福利】报酬+补贴，特惠员工餐，就近分配，弹性工作制，环境好，带薪培训，时间灵活，免费工装
【发展空间】 服务员→值班经理→餐厅副经理→预备店经理→餐厅经理→更高管理职位。。。","工作地点
必胜客(孙武路店PH店)东营市广饶县兵圣路以东与乐安大街以北地块被称为“全福元”的部分房产
查看地图"
高薪服务员，短期长期均可，待遇优厚。,5000-9000元,经验不限,学历不限,"职位描述
中餐厅
火锅店
烧烤店
包吃包住
全勤奖金
工龄奖金
要求：25岁以下
不收任何费用
工资：底薪5000＋全勤＋奖金，一个月综合工资可以拿6000～9000左右
工作内容：酒水、点菜，传菜、打扫卫生等
上班时间：8-10个小时。
公司包吃包住，宿舍免费提供被褥，一月四天休假，工资每月五号开支，不压工资！","工作地点
北京朝阳区天禾广场46号
查看地图"
前厅服务员+（光明店）,4000-5000元·13薪,经验不限,学历不限,"职位描述
中餐厅
包吃包住
全勤奖金
工龄奖金
免费工装
节日福利
可预支工资
招聘服务员、要求有餐饮经验
可接受实习生、长期工优先
薪资福利待遇：包吃包住，月工资4000-5000。
岗位要求：
1.男女不限，年龄17-27，要求无明显纹身
2.适应高效的工作环境，积极主动、能吃苦耐劳
3.集团店长都很nice,人性化管理，同事相处融洽，非常期待你们的加入，您的到来，我们才是一支完整的团队，时刻准备着！","工作地点
深圳光明区凤鸣别苑
查看地图"
