职业,薪水,关键词,工作经验,学历,工作地址,公司,公司情况
4500底薪+高提成+五险一金 ＋销售代表,6000-10000元,"企业客户
个人客户",1-3年,大专,天津·西青·中北,天津鸿泰景润食品有限公司,"民营
         
          20-99人
         
          零售/批发"
新能源线索跟进专员,8000-15000元,"KA大客户
企业客户
个人客户",1-3年,大专,天津·津南·葛沽,天津中升汽车销售服务有限公司,"外商独资
         
          20-99人
         
          汽车研发/制造"
底薪7000，事少准时发薪的工作就差你了,9000-17000元,"个人客户
方案制定",无经验,学历不限,天津·和平·南市,天津长汇信息咨询服务有限公司,"民营
         
          100-299人
         
          企业服务"
产品销售,3000-6000元,"企业客户
个人客户",经验不限,大专,天津·西青·大寺,天津瑞浩集团有限公司,"20-99人
         
          工业自动化"
武清区招网络销售专员挑战高薪+五险+双休,4000-8000元,"跟踪回访
课程推广
课程销售
渠道销售",经验不限,学历不限,天津·武清·杨村,天津麟才教育咨询有限公司,"民营
         
          20-99人
         
          培训/辅导服务"
纯无责底薪7000/无kpi/社保/零经验也可,7000-14000元,"个人客户
电话销售
沟通能力",经验不限,学历不限,天津·和平·南市,天津长汇信息咨询服务有限公司,"民营
         
          100-299人
         
          企业服务"
汽车网销专员,4000-7000元,,经验不限,学历不限,天津·北辰·天穆,天津市津汇诚通汽车销售服务有限公司,"20-99人
         
          新能源汽车"
网络销售,6000-7000元,,经验不限,本科,天津·静海·静海镇,天津津荐网络科技有限公司,"民营
         
          20人以下
         
          运营商/增值服务"
销售业务员6K+提成，厂里提供客户,6000-10000元,"KA大客户
个人客户
企业客户",1-3年,大专,天津·北辰·双口,天津汇合惠众科技有限公司,"民营
         
          20-99人
         
          金属制品业"
DCC网销专员,6000-10000元,,经验不限,大专,天津·北辰·天穆,北京鑫敏恒盛世汽车销售有限公司,"其它
         
          1000-9999人
         
          新能源汽车"
电话网络销售,6000-10000元·13薪,"企业客户
电话销售
网络销售",1-3年,大专,天津·和平·南市,智联招聘,"其它
         
          1000-9999人
         
          互联网"
无责7K底薪+提成单休,7000-11000元,"企业客户
个人客户
政府客户",1-3年,大专,天津·北辰·双口,天津汇合惠众科技有限公司,"民营
         
          20-99人
         
          金属制品业"
网络电销专员,6000-10000元,,1-3年,大专,天津·北辰·西堤头,天津百利展发集团有限公司,"民营
         
          100-299人
         
          电气机械/电力设备"
facebook销售,6000-10000元,"医疗机构
个人客户",1-3年,大专,天津·和平·小白楼,天津烁朗科技有限公司,"民营
         
          20-99人
         
          电子商务"
无责底薪7000+提成网络销售跟单员,7000-11000元,"KA大客户
企业客户
政府客户",3-5年,大专,天津·北辰·双口,天津汇合惠众科技有限公司,"民营
         
          20-99人
         
          金属制品业"
销售专员,5000-10000元,企业客户,1-3年,大专,天津·武清·王庆坨,天津京路发科技发展有限公司,"民营
         
          100-299人
         
          纺织业/服饰产品加工制造"
网络销售专员（双休+五险一金+晋升）,1-1.5万,,无经验,学历不限,天津·滨海新区·杭州道,振兴伟业财税服务(天津)有限公司,"其它
         
          20-99人
         
          财务/审计/税务"
电商销售,4000-8000元,"个人客户
企业客户",经验不限,学历不限,天津·南开·体育中心,天津南开区启航财网络科技工作室,"其它
         
          20-99人
         
          电子商务"
销售业务员,5000-10000元,"网络销售
帐篷物资
KA大客户
企业客户
政府客户
经销商",1-3年,大专,天津·南开·水上公园,天津京路发科技发展有限公司,"民营
         
          100-299人
         
          纺织业/服饰产品加工制造"
快消品网络销售,6000-10000元,"个人客户
企业客户
KA大客户",1年以下,大专,天津·西青·张家窝,天津市世银鼎盛国际贸易有限公司,"其它
         
          20-99人
         
          烟草/酒业"
钛化工销售经理+周末双休法休+五险一金,5000-10000元,企业客户,经验不限,学历不限,天津·河西·陈塘庄,攀枝花科威矿业有限公司天津分公司,"民营
         
          20-99人
         
          化工"
汽车网销专员,5000-9000元,"个人客户
企业客户
KA大客户",1-3年,大专,天津·北辰·天穆,天津津长风汽车销售服务有限公司,"民营
         
          20-99人
         
          汽车4S店/经销商"
白酒线上销售专员,4000-8000元,"直播带货
个人客户",1-3年,学历不限,天津·西青·张家窝,天津市世银鼎盛国际贸易有限公司,"其它
         
          20-99人
         
          烟草/酒业"
4s店网销专员,6000-12000元,,1-3年,本科,天津·北辰·小淀,天津北辰中升雷克萨斯汽车销售服务有限公司,"上市公司
         
          20-99人
         
          汽车4S店/经销商"
双休销售无责4500提供资源行业稳定16年企业,7000-12000元,"企业客户
KA大客户",经验不限,学历不限,天津·南开·万兴,北京霆智科技有限公司,"股份制企业
         
          20-99人
         
          计算机硬件"
高薪诚聘销售精英！精准资源！高底薪！高提成！,1-1.5万,"个人客户
企业客户",经验不限,学历不限,天津·河西·陈塘庄,天津清柠网络科技有限公司,"其它
         
          20-99人
         
          计算机软件"
全屋定制网络销售 免费班车 薪酬面议,4000-6000元,,1-3年,中专/中技,天津·静海·杨成庄,天津市舒雅美嘉木制品有限公司,"民营
         
          20-99人
         
          装饰装修"
电子商务师,3000-5000元·13薪,"店铺运营
标书制作
美工",经验不限,大专,天津·津南·双港,天津威恳德测控设备技术有限公司,"民营
         
          20-99人
         
          仪器仪表制造"
DCC邀约,8000-9000元,,1-3年,大专,天津·东丽·华明,一汽富华生态有限公司,"300-499人
         
          汽车4S店/经销商"
网络销售经理,9000-13000元,"企业客户
政府客户
个人客户",经验不限,学历不限,天津·津南·北闸口,天津凯吉阀门有限公司,"民营
         
          20-99人
         
          金属制品业"
微信运营专员,4000-6000元,,经验不限,大专,天津·南开·体育中心,品聚(天津)科技发展有限公司,"民营
         
          100-299人
         
          互联网"
