职位,薪水,关键词,经验,学历,工作地址,公司,公司情况
项目管培生（营销策划方向）,9000-11000元·13薪,"市场营销方向
营销策划
线下活动",经验不限,本科,郑州·金水·祭城路,上海高顿教育科技有限公司,"民营
         
          1000-9999人
         
          培训/辅导服务"
下沉市场-安全治理,面议,,3-5年,本科,北京,北京三快在线科技有限公司,"上市公司
         
          10000人以上
         
          互联网"
机械设计工程师,1.5-2.8万,,5-10年,大专,南通·崇川·小海,丹阳市飞翔汽车配件有限公司,"300-499人
         
          汽车零部件"
八小时工作制+五险+可小白,5000-9000元,,1年以下,大专,绵阳·涪城区·工区街道,中国大地财产保险股份有限公司,"国企
         
          10000人以上
         
          保险"
日结一天配送,290元/天,"会骑电瓶车
包住",经验不限,学历不限,宁波·鄞州·钟公庙,温州安飞餐饮管理有限公司,"民营
         
          20-99人
         
          餐饮服务"
营销主管（专升本）,1-2万,,经验不限,大专,成都·金牛·驷马桥,成都金标尺培英教育科技有限公司,"1000-9999人
         
          培训/辅导服务"
细胞项目负责人,6000-10000元,"细胞培养技术
细胞功能性实验
项目管理",1-3年,硕士,天津·津南·双港,中实(天津)检验检测有限公司,"民营
         
          20人以下
         
          专业技术服务"
保险商品运营,1.3-2.6万·16薪,"C端用户
平台类产品
产品迭代
用户增长",3-5年,本科,北京·朝阳·东湖,北京水滴科技集团有限公司,"上市公司
         
          1000-9999人
         
          互联网"
业务员,4000-8000元,"会议/会展销售
渠道销售
文创产品
潮玩二次元产品",1-3年,中专/中技,河源·源城区·上城街道,河源市星彩电子商务有限公司,"民营
         
          20-99人
         
          电子商务"
销售管理,2-4万·13薪,"KA大客户
个人客户
企业客户
渠道销售
区域销售",3-5年,大专,重庆·江北,中国平安人寿保险股份有限公司重庆市江北支公司五里店营业部,"上市公司
         
          10000人以上
         
          互联网金融/小额贷款"
高级电气工程师,1.8-2.3万,"设计
编程
PLC设计
自动化设计
智能仓储
机械臂
四项车
西门子
施耐德
倍福
ST/SCL",5-10年,本科,南京·江宁·秣陵,华章物流,"民营
         
          100-299人
         
          人工智能"
高级咨询项目经理,2-4万,"政策
资金申请
政府投融资管理咨询",5-10年,本科,北京·西城·月坛,中咨规划设计研究有限公司,"国企
         
          100-299人
         
          工程技术与设计服务"
生物显微镜应用工程师(169515) 日语英语必须,9000-15000元,"研发
测试",经验不限,本科,上海·浦东·三林,上海艾杰飞人才管理咨询有限公司,"外商独资
         
          300-499人
         
          咨询服务"
电商运营经理,7000-14000元,"抖音小店
经理",3-5年,本科,济南·槐荫·振兴街,山东庆丰牧业科技有限公司,"民营
         
          100-299人
         
          农/林/牧/渔"
蓝牙音箱仓库物料员3名（六千五包吃住）,7000-10000元,"包吃包住
带薪培训
可预支薪水
吃住免费可带手机
报销车费不查纹身案底染发
可招大龄工",无经验,学历不限,惠州·惠阳区·新圩镇,东莞市启恒人力资源有限公司,"事业单位
         
          500-999人
         
          人力资源服务"
戴村汽配厂普工包吃住高薪,7000-8000元,"厂内食堂
恒温车间
包住
做六休一
月结
两班倒
组装工
包装工
检验员",经验不限,初中及以下,杭州·萧山·戴村,武汉昆仑人力资源有限公司,"其它
         
          500-999人
         
          人力资源服务"
招临时工，200–500/天，会骑车就来，勤快优先！,1-1.5万·13薪,"家附近3公里配送
提供车住
全职兼职均可
日入500
时间自由
人走账清
保底8000
日结工资
包住
可预支薪水
高温补贴
底薪加提成
节日福利",经验不限,学历不限,广州·南沙·珠江,团配供应链管理,"股份制企业
         
          10000人以上
         
          货运/物流/仓储"
4s店新媒体运营专员,6000-7000元,"抖音
快手
小红书",1-3年,大专,烟台·芝罘·世回尧,烟台富金汽车销售服务有限公司,"民营
         
          100-299人
         
          汽车4S店/经销商"
android安卓开发工程师（双休/化龙/不加班）,9000-15000元,"Flutter
iOS",1-3年,本科,广州·番禺·化龙,软通动力信息技术(集团)股份有限公司,"上市公司
         
          10000人以上
         
          互联网"
可日结+坐岗+零费用入职,6000-7000元,"厂内食堂
恒温车间
包住
日结
月结",经验不限,学历不限,沧州·献县,天津津宏恒业企业管理有限公司,"其它
         
          500-999人
         
          人力资源服务"
家政招生老师,6000-12000元,"五险一金
周末双休
节日福利
带薪培训
年终奖金",经验不限,大专,东莞·莞城街道,东莞市家好到家生活服务有限公司,"100-299人
         
          家政服务"
每天回家吃饭自由+就近+招餐饮商超配送,6000-10000元,"公司提供电动车/摩托车
无驾照要求
餐饮外卖
酒水饮料
生鲜蔬果
无犯罪记录
会骑电动车",经验不限,学历不限,太原·万柏林·南寒,苏州威沃网络科技有限公司,"民营
         
          1000-9999人
         
          货运/物流/仓储"
企业电话客服五险+绩效,4000-8000元,,经验不限,学历不限,新余·渝水区·城北街道,中国大地财产保险股份有限公司,"国企
         
          10000人以上
         
          保险"
家装顾问销售(焦作/济源/巩义/阳泉四店同招）,5000-10000元,"住宅
公寓
别墅
面销/陌拜
门店销售",经验不限,高中,济源市,焦作明悦诺美门窗有限公司,"20-99人
         
          建材"
急聘饿了么接单大神,6000-10000元,"公司提供电动车/摩托车
无驾照要求
餐饮外卖
会骑电动车
无犯罪记录",经验不限,学历不限,广州·增城·新塘,广州野马科技有限公司,"民营
         
          1000-9999人
         
          搬家/生活配送"
