职位,关键词,薪水,工作经验,学历,工作地址,公司,公司情况
试验工程师,,1-1.3万,3-5年,本科,天津·东丽·军粮城,突破电气,"民营
         
          100-299人
         
          通信/网络设备"
测试工程师,"系统测试
性能测试
自动化测试
C
C++",1-2万,3-5年,本科,天津·东丽·金桥,北京芳彤智数科技有限公司,"其它
         
          20-99人
         
          咨询服务"
民生租赁-功能测试-智联(J14863),"功能测试
性能测试
自动化测试
Postman
Jmeter
Fiddler",1-1.2万,3-5年,本科,天津·东丽·华明,先进数通,"股份制企业
         
          1000-9999人
         
          IT服务"
测试工程师（天津）,,9000-12000元,3-5年,本科,天津·东丽·军粮城,突破电气,"民营
         
          100-299人
         
          通信/网络设备"
试验策划工程师,"硬件测试
系统测试",1-2万·16薪,3-5年,学历不限,天津·静海·大丰堆,爱玛科技集团股份有限公司,"上市公司
         
          10000人以上
         
          通用设备制造"
研发测试工程师,"可靠性测试
性能测试",6000-11000元,3-5年,本科,天津·滨海新区·新北,深之蓝,"民营
         
          300-499人
         
          人工智能"
服务器测试工程师（天津华勤）,"硬件测试
服务器测试",8000-13000元,3-5年,本科,天津·东丽·华明,常州科睿达信息科技有限公司,"民营
         
          100-299人
         
          IT服务"
测试验证岗,,1-2万·15薪,5-10年,本科,天津·西青·张家窝,中汽新能电池科技,"股份制企业
         
          1000-9999人
         
          电子/半导体/集成电路"
试验工程师,,4000-7000元,经验不限,大专,天津·滨海新区·杭州道,天津跃峰科技股份有限公司,"股份制企业
         
          100-299人
         
          船舶/航空/航天/火车制造"
测试工程师,"软件测试
硬件测试
功能测试
Python
Shell",5000-6000元,无经验,大专,天津·南开·学府,天津深维思索智能科技有限公司,"民营
         
          20-99人
         
          人工智能"
测试工程师,"软件测试
系统测试",1.2-1.3万,3-5年,本科,天津·滨海新区·杭州道,天浩工程技术服务(天津)有限公司,"民营
         
          1000-9999人
         
          人力资源服务"
系统测试工程师,软件测试,4000-6000元,经验不限,本科,天津·津南·咸水沽,北京微视新纪元科技有限公司,"民营
         
          100-299人
         
          计算机软件"
