周末双休（早九晚六）下发优质客源/无需拓客,面议,"销售
周末双休
五险一金",1-3年,大专,郑州·金水·祭城路,中国平安,"上市公司
         
          10000人以上
         
          银行",世界500强,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1接送司机0押金入职,6000-9000元,C1驾驶证,经验不限,学历不限,广州·荔湾·石围塘,东莞市晨祥汽车租赁有限公司,"20人以下
         
          客运服务",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
月薪8K+短距离配送岗,7000-8000元,"生鲜
食品饮料
按区域配送
会骑电动车",经验不限,学历不限,石家庄·裕华·裕东,河北冀豫人力资源服务有限公司,"20-99人
         
          人力资源服务",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
产品经理【G】,1.3-1.6万,,5-10年,本科,珠海·香洲区·凤山街道,东策网络科技有限公司,"股份制企业
         
          100-299人
         
          互联网",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
快递员就近安排0元入职,7000-9000元,包住,经验不限,学历不限,重庆·江北,重庆京丹达物流有限公司,"20-99人
         
          货运/物流/仓储",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自由安排接送乘客招C1C2司机,6000-9000元,C1驾驶证,经验不限,学历不限,珠海·金湾区·三灶镇,东莞市晨祥汽车租赁有限公司,"20人以下
         
          客运服务",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
周末双休（早九晚六）下发优质客源/无需拓客,面议,"销售
周末双休
五险一金",1-3年,大专,天津·西青·中北,中国平安,"上市公司
         
          10000人以上
         
          银行",世界500强,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
五险一金+周末双休的财务专员,5000-7000元,采购,1-3年,大专,太原·小店·西温庄,江西锦海企业管理有限公司,"民营
         
          100-299人
         
          人力资源服务",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
骑手福利装备齐全就等你上岗有食堂供吃,6000-7000元,"可预支薪水
高温补贴
节日福利
有保底工资
会骑电动车
无犯罪前科
公司提供车",经验不限,学历不限,咸宁·咸安区·永安街道,武汉东亿科技有限公司,"民营
         
          100-299人
         
          餐饮服务",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
特教教师,6000-12000元,"特殊教育
感统教育
康复训练
授课老师
自闭症
发育迟缓
言语治疗
ABA
孤独症",1-3年,本科,上海·青浦·徐泾,上海太敬康复医疗中心有限公司,"其它
         
          20-99人
         
          医院",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
