职位,薪水,关键词,工作经验,学历,工作地址,公司,公司情况
大客户销售代表,8000-10000元,"大客户（KA）
面销
面销/陌拜
区域销售",1-3年,学历不限,天津·北辰·普东,天津中建恒屹建筑工程有限公司,"民营
         
          20-99人
         
          房地产开发"
销售经理助理,5000-7000元,"电子/半导体
企业客户
全国",1-3年,大专,天津·下瓦房,天津市风磊电子有限公司,"民营
         
          20-99人
         
          电子/半导体/集成电路"
销售经理,2-2.5万,,5-10年,本科,天津·西青·张家窝,曙光信息产业（北京）有限公司,"国企
         
          1000-9999人
         
          计算机硬件"
大客户经理,2.5-5万,"电话销售
税筹规划
招商引资",1-3年,本科,天津·和平·南市,选这儿(天津)科技有限公司,"民营
         
          20-99人
         
          互联网"
对公客户经理+月薪12-20k+正编五险一金+外勤+交补话补,1.3-2.2万,"面销/陌拜
区域销售
渠道销售
电话销售
对公经验
BD经理",经验不限,本科,天津·南开·兴南,天津勇林劳务派遣有限公司,"股份制企业
         
          500-999人
         
          人力资源服务"
大客户经理,1-1.5万,TO B 大客户经验,3-5年,本科,天津·东丽·东丽湖,象屿地产集团有限公司,"国企
         
          1000-9999人
         
          房地产开发"
大客户销售（华北区）,8000-15000元,"区域销售
面销/陌拜",3-5年,本科,天津·西青·西营门,北京智慧云测设备技术有限公司,"民营
         
          20-99人
         
          网络/信息安全"
客户经理,7000-12000元,"渠道销售
面销/陌拜
区域销售",经验不限,本科,天津·西青·张家窝,天津中科谱光信息技术有限公司,"民营
         
          20-99人
         
          环保"
周末双休不加班的大客户销售丨入职五险一金,8000-15000元,"渠道销售
区域销售
电销",经验不限,大专,天津·西青·张家窝,位来小猎(宁波)信息技术有限公司,"合资
         
          100-299人
         
          计算机软件"
大客户运营经理（贝壳专项）,1-1.5万,"渠道销售
区域销售
代理商销售
运营管理
客户管理
商务经理",3-5年,本科,天津·滨海新区·胡家园,北新嘉宝莉涂料集团股份有限公司,"国企
         
          1000-9999人
         
          化工"
大客户经理,6000-12000元,"渠道销售
面销/陌拜
区域销售",经验不限,学历不限,天津·北辰·宜兴埠,天津市庞越贸易有限公司,"民营
         
          20-99人
         
          汽车研发/制造"
大客户经理（国内新能源方向）,1.2-2.4万,"自带主机厂资源
熟悉汽车内外饰行业
熟悉汽车内外饰件注塑、喷涂、电镀",3-5年,大专,天津·东丽·新立,天津市精美特表面技术有限公司,"合资
         
          500-999人
         
          汽车研发/制造"
天津各区销售部大客户代表，半年保底诚聘,7000-14000元,面销/陌拜,1-3年,大专,天津·东丽·华明,跨越速运,"民营
         
          10000人以上
         
          货运/物流/仓储"
